X-coord,Y-coord
-257,-328
381,364
-144,478
-128,279
377,-185
426,236
-326,-172
372,-137
-441,47
284,-204
-59,-148
89,135
-159,-307
-464,-139
-55,-58
109,-38
20,-325
351,-112
-116,479
90,-409
-75,-336
57,-389
-443,433
386,-368
278,426
90,-404
-72,222
331,71
142,126
390,-408
-466,-447
38,-136
-160,394
184,-317
389,41
-279,-308
426,-208
455,-418
-276,253
-224,-334
184,-369
-24,409
-122,104
-356,-219
239,-9
-337,222
-445,446
-320,56
-410,133
-123,4
-333,-311
442,-361
-384,-472
347,12
321,-234
28,-273
210,-445
41,-331
-367,313
272,-403
-426,-397
-69,12
-97,492
-92,-132
40,-436
-104,399
230,157
-223,155
-426,-424
46,438
-469,-85
427,463
-214,-392
296,-364
-327,136
-183,-9
-81,45
-186,338
-381,110
330,323
-122,-202
-460,232
-229,429
-244,-216
202,14
-5,180
153,378
183,-285
498,188
-338,-69
147,-165
242,140
-61,-367
265,-346
-438,149
-35,-111
-163,450
-436,-206
389,-279
378,-369
460,-339
-163,112
-459,-341
82,-221
-29,357
-65,-268
-381,-385
-4,-447
272,438
-302,443
10,308
220,-409
119,-257
18,384
61,-105
386,425
-253,443
-422,329
245,374
124,-392
-285,-97
323,-43
-474,143
464,-179
492,-29
283,360
472,328
117,-429
-99,354
-491,-54
120,361
231,200
262,173
-64,-367
470,237
209,-110
-121,441
337,380
-351,-479
-57,-139
332,-425
-460,-428
51,-321
-293,101
495,84
-50,-383
10,-329
256,-252
-71,208
16,-15
477,-216
-15,-140
411,194
-75,372
-422,-237
-495,97
-261,-438
-151,79
142,-146
341,-190
129,13
443,173
262,-258
-370,51
268,190
213,228
-440,250
-301,-377
69,464
266,-393
-432,100
24,234
157,-207
-360,-352
-31,489
85,1
388,300
-243,-445
-166,104
-333,-220
462,208
-130,-27
-313,-425
273,6
452,-423
-120,-448
-414,-440
-278,-352
165,377
-116,-118
-463,-32
-230,-293
-85,-290
-359,466
399,86
360,-65
-365,-223
204,-410
-8,-270
176,-291
-381,95
355,-71
-102,-355
120,-443
149,-340
498,375
-230,-252
-338,-400
-345,-291
-157,-209
296,-4
-376,-31
-92,95
383,186
201,41
331,274
-301,282
259,-77
99,73
404,-471
-409,11
-480,-156
-13,-171
-94,-82
-295,-341
-45,-228
165,134
-391,498
-400,-463
230,99
-295,433
77,-177
-145,500
436,69
121,358
-273,257
311,-313
71,176
122,91
57,-120
203,42
319,374
52,-392
187,-334
188,-27
-419,99
-432,-443
-462,55
-372,-32
333,444
-290,-28
361,363
241,47
-273,-202
314,-239
259,98
-109,-114
-203,174
-333,164
23,477
421,-304
386,99
197,252
5,-52
-3,41
472,42
-162,-199
93,391
-480,-155
-129,447
-78,-51
316,87
109,157
174,284
-382,-277
112,186
-38,22
-104,427
-218,348
-29,336
429,298
481,484
-35,-500
-188,-207
-19,175
-125,468
-19,-234
469,12
-474,-108
25,376
269,-498
-335,-177
136,-293
-4,304
41,-193
58,-296
-23,-414
239,35
-193,80
497,-468
-161,-463
312,131
-244,315
369,-302
192,319
115,-87
-177,-217
-399,-352
391,409
361,-388
-220,386
-309,226
269,-414
-281,-257
-458,154
-157,166
303,33
-215,467
-283,396
98,-423
377,167
-298,-429
-166,-304
319,205
-489,336
-252,-143
-196,25
-180,-230
-264,127
300,-315
-243,-307
21,204
351,235
-168,387
-276,-358
93,-143
-248,336
126,424
-365,483
24,355
-13,-500
-354,104
489,-215
44,202
320,494
179,-346
157,231
151,-236
359,465
-311,-188
-452,143
-220,-95
39,-45
-157,-92
-297,339
-65,479
-172,138
-194,24
-314,-339
-301,380
-333,-496
295,249
39,422
472,-151
268,45
-103,-488
238,-346
-292,393
-73,-352
301,-354
-333,-178
75,-419
155,475
-196,-171
-414,379
55,-332
471,-311
-130,377
-88,-32
-435,-399
318,187
212,-1
337,129
-163,118
313,-457
68,-367
-470,261
-363,-422
134,215
-486,166
470,-173
-112,-407
-298,-85
-376,-294
375,193
487,-135
-213,-296
-355,446
420,378
143,-189
396,-30
422,-297
444,-405
-220,411
-133,-179
42,-32
177,-186
417,-287
466,471
150,-191
-350,237
441,-470
-403,54
-72,-322
477,-6
-363,-220
265,219
279,-7
240,320
-387,-333
47,-117
-119,-430
256,-196
-12,-430
320,253
207,407
467,-492
-151,388
102,-323
-5,-19
383,398
337,-396
-446,498
7,-224
-231,141
256,456
-327,91
-219,-45
145,269
245,324
9,-97
-344,-93
-189,197
-352,-348
-354,408
-107,-56
139,-5
444,-7
-252,-148
160,38
-434,231
164,-490
-468,-16
-210,158
-81,327
220,423
155,451
432,-93
-71,-170
28,-314
-432,482
282,354
-364,394
352,-441
-369,217
315,403
-139,27
313,159
-421,-151
-278,-321
423,269
-461,9
375,-100
114,399
-5,37
-77,345
-470,-184
-221,-71
318,369
-12,200
2,59
139,345
-168,100
-421,-60
402,-413
-436,396
-135,188
-274,-380
424,196
167,28
465,13
-333,112
418,-125
-50,285
-41,53
-455,457
401,-48
-397,-425
304,-173
419,408
194,-222
-289,-372
266,143
-405,-7
-499,259
-267,-408
-166,-190
427,495
26,-208
410,-410
16,472
-283,201
-347,-220
47,-427
464,379
249,318
373,-463
-160,-225
457,-486
235,-119
-76,64
-183,-29
-494,163
-184,-11
-350,388
72,-350
3,500
27,226
-497,459
410,-359
191,-65
-329,413
99,-283
288,25
-343,-198
-22,475
-129,388
-105,-230
431,176
-161,242
132,366
181,-439
91,-338
-155,-258
122,480
-289,25
-17,-346
243,390
29,-430
471,99
-295,-300
-131,389
2,-324
-84,-145
-258,-166
61,8
448,-496
149,-176
367,-25
96,-450
481,72
426,-285
-62,87
-269,73
-10,-343
122,-318
26,-244
-199,103
-186,499
-125,481
-81,196
-296,-412
137,-148
52,-487
-32,455
290,-24
150,51
98,407
-368,-189
-125,-483
3,-409
-170,-67
250,-103
460,8
-200,-46
-52,85
246,258
-16,215
80,296
401,-465
23,-219
371,226
87,459
-29,72
-397,413
424,448
-472,421
334,239
102,-489
-477,-372
351,-255
496,-408
-448,69
-386,372
-422,101
451,5
399,-163
127,38
-340,141
62,-141
295,-493
-130,-119
79,-338
212,444
115,368
193,-137
-460,-19
-402,-1
315,-437
-113,-97
-407,-291
-276,433
-283,482
-471,460
101,-462
-403,-408
-479,-238
66,-490
-7,-235
323,-147
484,-70
-441,25
-100,167
249,113
37,-135
-180,56
173,-74
469,-419
-292,-398
-413,-213
357,458
281,-67
-373,467
223,358
463,-121
21,476
73,126
-82,-491
-74,296
308,433
465,363
418,386
-141,413
-108,306
-304,-112
144,110
169,102
2,0
126,-226
-296,-340
158,-157
100,-73
65,194
216,457
277,-141
343,274
410,-94
-493,-194
-281,-230
353,-101
-492,191
480,-7
-138,-76
-287,-12
226,-245
277,-204
25,96
-410,-186
245,472
-350,-67
-284,29
180,-484
-279,-477
-3,252
-429,-399
-258,-51
432,85
106,384
281,-281
-229,382
58,54
201,-415
-193,-226
4,-120
-136,102
-463,284
-484,170
-317,200
90,160
138,-337
217,140
-283,-275
-19,254
267,-245
78,-388
112,-124
407,-471
-493,185
457,93
-108,205
-469,432
117,281
-281,-410
140,-232
383,-391
90,-315
415,340
-98,116
-48,131
-139,-275
-300,-93
-200,-354
66,389
474,-229
190,160
372,-182
457,127
-53,354
336,-177
-437,-191
318,-498
-194,488
-179,110
-39,119
450,-439
-324,-33
379,103
113,-187
43,-16
-177,397
-457,-470
-449,-256
74,297
478,496
-192,-58
395,80
-448,362
471,348
11,-54
-397,-258
184,485
-477,19
376,-165
-192,-204
227,-38
-404,158
-28,-377
-418,306
160,107
-133,341
458,-426
-235,384
490,29
193,-406
410,400
-273,-124
-371,453
-129,133
192,317
188,-38
-348,-12
-357,395
-146,-160
-108,-413
-131,-243
-500,-170
78,263
58,-85
465,-26
438,35
244,429
-236,-490
453,-154
-203,475
30,-99
-447,279
-203,-365
-41,-313
-34,162
-181,-387
-4,-443
346,-27
-148,489
50,73
346,127
175,334
299,-23
109,-164
-201,88
259,-50
-385,87
113,-67
185,377
38,445
-72,-137
314,122
221,469
347,61
-165,484
115,-379
-197,433
-210,-253
337,-310
-301,140
389,117
182,-187
-267,101
107,499
93,354
-82,445
-251,408
32,-34
130,278
122,170
-65,19
83,-122
14,-287
301,-135
-236,-107
349,304
-212,448
152,-375
249,-435
123,-483
452,498
180,-302
-314,383
-467,499
-220,-187
356,352
-200,-426
-222,244
247,-245
-16,-121
