,AST,BLK,BLKA,CFID,CFPARAMS,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,L,MIN,OREB,PF,PFD,PLUS_MINUS,PTS,REB,STL,TEAM_ID,TEAM_NAME,TOV,W,W_PCT,YEAR
0,19.0,5.2,4.0,10.0,Atlanta Hawks,28.7,22.4,8.0,0.36,76.9,34.3,0.446,23.8,18.2,0.763,82.0,26.0,49.7,12.5,18.4,0.1,5.4,94.8,41.1,8.5,1610612737.0,Atlanta Hawks,15.0,56.0,0.683,1997.0
0,19.1,6.0,4.5,10.0,Atlanta Hawks,29.5,12.4,4.1,0.332,77.5,35.2,0.455,28.2,21.3,0.756,82.0,32.0,48.5,13.5,20.4,0.2,3.5,95.9,43.0,7.9,1610612737.0,Atlanta Hawks,14.8,50.0,0.61,1998.0
0,15.6,5.2,4.9,10.0,Atlanta Hawks,30.0,12.9,3.9,0.306,75.2,30.8,0.409,28.4,20.8,0.731,50.0,19.0,48.3,13.5,19.7,0.2,2.9,86.3,43.5,6.9,1610612737.0,Atlanta Hawks,14.9,31.0,0.62,1999.0
0,18.9,5.6,4.9,10.0,Atlanta Hawks,31.3,9.9,3.1,0.317,83.0,36.6,0.441,24.2,18.0,0.743,82.0,54.0,48.4,14.0,21.0,1.6,-5.4,94.3,45.3,6.1,1610612737.0,Atlanta Hawks,15.4,28.0,0.341,2000.0
0,19.0,4.7,6.3,10.0,Atlanta Hawks,30.4,11.4,4.1,0.357,81.3,35.1,0.431,22.1,16.8,0.759,82.0,57.0,48.1,12.5,22.7,0.0,-5.2,91.0,42.9,7.7,1610612737.0,Atlanta Hawks,16.7,25.0,0.305,2001.0
0,20.2,4.3,6.2,10.0,Atlanta Hawks,29.8,14.6,5.2,0.354,80.6,35.4,0.439,23.7,18.1,0.765,82.0,49.0,48.2,11.6,20.8,0.1,-4.2,94.0,41.5,8.1,1610612737.0,Atlanta Hawks,15.5,33.0,0.402,2002.0
0,20.5,5.8,5.0,10.0,Atlanta Hawks,31.2,13.9,4.9,0.352,78.5,34.9,0.444,24.5,19.4,0.793,82.0,47.0,48.6,11.4,21.7,0.1,-3.6,94.1,42.6,7.5,1610612737.0,Atlanta Hawks,16.7,35.0,0.427,2003.0
0,20.1,5.0,5.1,10.0,Atlanta Hawks,30.6,15.2,5.1,0.335,79.6,34.5,0.433,24.1,18.7,0.776,82.0,54.0,48.5,12.1,22.3,0.0,-4.6,92.8,42.7,7.6,1610612737.0,Atlanta Hawks,16.5,28.0,0.341,2004.0
0,19.7,4.2,5.9,10.0,Atlanta Hawks,28.5,11.9,3.7,0.312,81.4,35.9,0.441,24.3,17.3,0.711,82.0,69.0,48.4,13.4,24.5,0.0,-9.7,92.7,41.9,7.7,1610612737.0,Atlanta Hawks,16.1,13.0,0.159,2005.0
0,19.8,4.8,5.1,10.0,Atlanta Hawks,27.2,14.1,5.2,0.367,79.2,35.9,0.454,26.9,20.2,0.75,82.0,56.0,48.5,13.0,25.0,22.6,-4.8,97.2,40.3,7.2,1610612737.0,Atlanta Hawks,15.7,26.0,0.317,2006.0
