#
# Facebook Network In-Degree. G(4039, 88234). 1314 (0.3253) nodes with in-deg > avg deg (43.7), 597 (0.1478) with >2*avg.deg (Tue Nov 01 03:20:37 2016)
#
# In-degree	Count
1	75
2	98
3	93
4	99
5	93
6	98
7	98
8	111
9	100
10	95
11	81
12	82
13	79
14	87
15	106
16	82
17	76
18	73
19	72
20	63
21	52
22	63
23	53
24	60
25	55
26	56
27	49
28	37
29	38
30	40
31	38
32	44
33	35
34	43
35	36
36	43
37	43
38	44
39	29
40	27
41	29
42	21
43	29
44	21
45	19
46	24
47	24
48	24
49	33
50	25
51	20
52	19
53	15
54	23
55	23
56	18
57	23
58	15
59	11
60	18
61	18
62	16
63	23
64	13
65	20
66	22
67	13
68	16
69	14
70	17
71	18
72	15
73	10
74	10
75	8
76	15
77	10
78	11
79	16
80	8
81	4
82	12
83	17
84	12
85	10
86	9
87	5
88	9
89	9
90	7
91	9
92	10
93	11
94	7
95	9
96	11
97	8
98	5
99	11
100	10
101	4
102	9
103	6
104	6
105	7
106	9
107	9
108	6
109	9
110	4
111	1
112	7
113	8
114	4
115	10
116	6
117	9
119	4
120	5
121	6
122	12
123	11
124	9
125	5
126	6
127	4
128	5
129	4
130	6
131	6
132	4
133	3
134	3
135	7
136	4
137	5
138	2
139	5
140	3
141	7
142	7
144	1
145	3
146	5
147	6
148	3
149	1
150	2
151	5
152	4
153	2
154	4
155	5
156	6
157	1
158	5
159	3
160	6
161	4
162	2
163	1
164	4
165	5
166	4
167	2
168	5
169	3
170	3
171	3
172	3
173	6
174	2
175	2
176	4
177	4
178	5
179	3
180	2
181	2
182	5
183	3
184	3
185	4
186	4
187	4
188	4
189	3
190	6
191	4
192	2
193	3
194	1
195	4
196	2
197	3
198	5
199	2
200	1
201	4
202	2
203	2
204	1
205	4
207	3
209	1
210	1
211	1
217	1
220	1
221	1
222	1
223	1
224	1
226	1
229	1
231	1
234	2
235	1
245	1
254	1
291	1
294	1
347	1
547	1
755	1
792	1
1045	1
