iInteractionId, iContactId, Content
6.28E+18,6.28E+18,  i used to get mine i'm speaking with a sounds good what's your name please yes please yep on the so what what is that there is no baseball kills abundance said once it said like ok so okay and also the date sorry but we do the account today scary standards i brought oh okay yeah yes yes yes yes yeah i guess yes yeah that's fine i guess from i guess yeah no that's fine yeah okay so i'm doing accounts i'll place we see if there is it a couple of off of all what i'll just write it your accounts yeah that's all credit compass there in terms of the software details like also credit that let's get that that's your details so you will teachers if i can if you go to go to yeah yep okay and put some type of the month also thanks twentieth of my a t which one place you on hold yeah what do you call too much like full we what what's the reason that which is the cold like i said when once mostly that's all myself it's just land line because that's yeah but the places you're calling is mostly land line so rights i got the new address that you double crayons those are the full of the the area to dial okay it's about you know it's like it's what is it i can see who do smoke really ah in relation to talk to you know how much donna you'll be you okay give me just see it's a different easier it'll so you'll you'll so yeah that's oh right okay what do you need to pull do you watch lotus you watch because i wanted to you probably do what forty could walk so much is there a p could so they gave up now if you need to absolutely yeah she said okay that's good i'm just going to double check off the hope this this is because it's already responded to play take six weeks ian stole so can we do you have a look here yes march march you always clear she's connected to try for this what's happened yes okay do you know the how much is probably speed dial meant to be taking to be up for the holiday was just one right so i just months yeah that's you okay just yell so do you right okay six like if you see if we should persist us all about it on the second state which is the call will just need to so should just be the lost it so please leave so so christmas oh double place where today rename it'll yeah right i'm just using somebody from supposed to play some occurs and it's like i okay so you you mentioned a call so we're looking at it for t d comply excellent ah do you need to call you will be looking at it do you do you see if this is what's your full list like working and all that okay so you you're looking at about forty four dollars a month which is forty gig bodies okay for the land line and i want to close to an alternate he wants we don't want you called try for free for the connection free for my job disconnect for you because twelve months is told you're not going to lose and ah we charge fourteen does like fucking money to go okay so let's go he's actually speak at their end and we can credit calculated p troubling oh okay so yeah it's it's it's real t. so we can do a close we've got to make you don't use you know sort of like a to a different person first so what what it is easier right you have goals and it's sort of dairy in law will because of okay all stops place where you located yeah that's since thank you it's about forty it's supposed to send i'm jim so go into business your date of birth please so what you're talking with us because there is right hi gary it's marcum spot to reset i got i'll be speaking with jane looks like we doing a barbecue make sure that it's a new card and see if you double size but you know it's only see that for storefront standard your spouse accounts so because we don't have you it's like a spouse them we just need to correct account for you do you could details she had a mutual draws awesome cool so are we done this is what you know because if i should let me tell she keep it shouldn't it's probably a system persists you don't have to all to be in the system does help us to sort of what you said that's and that's all the critics recruit critical next thing we might reformer someplace i was supposed to keep getting case we need to be touch can teach a you know circle b anytime lost or something changes increasing it was thanks this information and the personal time she looks like it should times and this will be possible to critical hedging fees so she the selection of vegetables that's a creature called you are you happy for me to continue okay what's your date of birth please so it's like a mortgage affects you go you any servers notes if they new card is when you or what what's your mobile completely it's it's yeah welcome to off and you currently employed that's cool so what kind and i think that'll be a deposit she was for thank you how long it wasn't four point right do you know how long you got your previous real before but i guess i should eight on this thing you know they didn't he actually on the twentieth how will you be living at your current address so she old address roughly not like we you that's all ta will give you know that it's or slower for thank you so for almost to the next of kin both knees you'll notice that they need the three thousand foot center so you it's just that made a couple of weeks on so i'm that's fine yeah that's what's what's the best number you still looking at oh it says yes yes so you could eat bills email to post up you or do you know just because thank you yeah yes oh so you thanks the policy i needed from there was is russell speak to comes office details of the form i think i need a thirty is lost that's not right that's what i mean if you got it is just your calls office details view you lots and so if you yes yes yep so place so the go for a sec okay so a full that's promotional cryptic opening up there in the financial forty do buy teams the clothing all the full address book see delete will the money's still straight away with you on hold for so close it see the connection type so for you understand that it really shouldn't see called thanks full list call the card three one two years of my contact with her and right jim but yep yeah get so what's the phone number that you have okay thank you you know the chad what's the phone number do you want to publish no funds local book published is michael c the wife so it's really a personal choice i got in do you one straight company troll or just one question or access so that you had before she to the account sixteenth because if you can there is enough we can just credit that with someone but i've been guilty directly in relation to phone number we just want to read the number at the address listed as yeah what well what i'll do is i'll put your call please hold on it's like at this stage like the solid affordable come back to make sure you happy number account so i know connect uses okay thank you
6.28E+18,6.28E+18,  hello the payments that sort of them speaking to oral things are you a call to get that what i can help it's there please yes right right so do you need us stick on the computer it won't get book using that'll do you talk at all yeah that's that's that's yeah your call okay do you have a little bit give them back into to have been locked occasions mature on the computer which keep some eating up that at the background so but you know using to stick you need to target also but it does look keep them at the doctor yeah that's one of the slides linguistic in the whole full so you need to take that the bars also computer but you're not using drugs otherwise it keeps on each you got the dots at the background yeah but ever used it but i think it to them but all old the updates what's happened automatically become pizza big go or better for me to the start so you make yes but you know using that he's yeah these might be the up i switched whatever automatically on your computer so that's what i need to look at that for yeah if you on but i can do that for you now so which one are you off to so you go to your gold term oh you go to lots of three take about so bear all cancelled insidious so that the double over to the next one for medical at the end of the two so do you need to set that up to go put three takes more well the global we go all the go about eighty nine double six gehrig's eighteen or don't lose thank you don't yes right on it at that for you give it back up enough but that's and your predicts all coming to pick to you and that will be down on the oh two seven as it comes to me sorry what would be so that's all been done for you yes that's what so but you know usually get you to him to call support also but it does look keep on keeping up about to not a problem anything else rosy i can help you with please right so so what why don't you get the mobile broadband instead of the strieker until the talked for you you go into bob a or or the one for you to get that that's what the bank but it's not a whole that's okay so you're getting one but that's well no great marked if possible that they won't be a mixture billable broadband because the results because you will be the it's like so what you're gonna go all right kidding or do you do you want to go to call i'll correct thanks right you as far as you're taking the call the correct but you to the deal property that that doesn't mean that you breaking the contract so if it if you try to get to a different abrasive that means that you're not working the contract because so it's yes well that's correct i can see that so i pulled up the interest in the system numbers all doesn't need to make it to be the positive so we just did they give them some there in the middle there so basically we can give it to go through large yeah so we've got the playing there for a t gehrig's which is my people are does but the main blind overgrown be i've never to pull one hundred for the month but the landlord at the moment you want to you'll be probably get that fifty three fifty probably live only so yeah so the best friends we can look can get the the a t gig smokey for mine is fifty three point that's the that's only forty one dollars and fifty cents for a t gigs yeah that's fifty one dollars and fifty cents will be a limited you like and that because i have more to get up that doctor extra because it takes about three to five working days for us to hook up you know what that brought me so it's not gonna be instance in the mean well you can use your a mobile dots of their brought once it's up and running then we can cancel the other one for you yeah looking back because it will come down to the big you will be moving then what's the address there so it comes down to the subway secure contradicting now on to live on this you're gonna be a graceful the property welcome to give me one minute have you bought the property fourteen what's that percent of the is it please stand yeah sure lee to yeah creased or do you want you to or thank you go even fibers a little bit of a crucial prostate into that is available at the property so the results as possible the property we can't so yes you can so i just click spencer but way you'll see you're doing to narrow me because yeah it is way too expensive so robert go icon guaranteed to bring with them at the stores but it's way of checking a chance it's not cost you anything i've done the number which look you up so but yes if we can look you up i need a commitment for twelve months from you as far as you trying to get to a new location that's for the mouse but there is a calls to chinese the main card from one the first or do you have a look for the broadband yeah that's a large even if the but that's beside the point if you had told that on the floor them all you went into the call stay at work i've got a message we might have a special at that time did we changing get graceful free but obviously you won't be charged but trading the bold but there is no calls which i think the main blood from what address to the other people be a cost there the connect depending on a tuesday at takes will be on it but so at drexel be ninety five with the main line and i've limited would be wonderful you know what the made like this week can hook you up i will have to answer there is no off for the hook up so it will be going out of twelve about one correct so we could get your free connection will provide you with a free modem but there is a one off delivery charge on the modem which is fourteen dollars forty four fee which i did a ping it it's fulton double click people are that's the only charges looking at but if you break that corporate probably twelve months the cost but you don't know what that which one do you want i can because add a new address book is all because we all the time so we can look you up to complete so i can i can try that you do need to give you a ticket for the one that's about four oh oh one double click speed up at gig so can you get the one with a c place so if you yes alright well they're both like it went up to dispute it with me please yes so so right so by once in the bottom after you rob me until deceived like what the result comes up if it's gonna be positive oh from the modem out to you as soon as possible and it's the result comes negative oak ridge baking i'll let you know that sorry rodney we trouble queue up all right so i'm just going to do with the older now and what i'll do is as a fifty there is the full ten dollars most people in a one off delivery fee of the modem i'll give you one moment you don't quite a few things to kill which will come up the cost of the modem card can you give me one moment here is it to i can give you a one off credit but we can spread that'll what twelve months interest for you seven dollar fifty cents credit how do you want to yes one one up for the phone with that so because accounts right could i grab a cell phone number please rodney from you know where we can send you a confirmation takes place so if you yes yes ronda put the right person place you narrow they and as soon as i have a names a few oh right get back in public should know service if you are them up from the modem out to you you on to the result comes positive that's on the comes pop up impulse and the modem out to you alright and the top it'll be my t dollar credit fee was about off that will cover the cost up the delivery if the modem which is for ten dollars more t for this ride so there's a fifty or cannot be retrievable but at this place but we'll try out this there was no cost for us to basically there's no cost for you to have a nice week in the connect you up no they they are no we currently because we got our own or it's loaded up to get banking anything here because we all up to debate consultant chorus brought me support the people who have got the thomas i mean that's a good place and the water's under need to grab so we all took a company scott depended on band we do not own large anymore tool dot backwards especially yeah okay i do not want to direct you do it otherwise won't be a the result is d starting in the middle here row it's it's me the negative need to pull the troops so i could not promise you something which i do not know what the starts but i'll see yes yeah but but means that all set up wrong exit conscience for you so i will although double bass what i can get both hope it gets opened up by the so you think about to ring you back if in case the result is positive then you will get it takes once it would be up to my attention to get that one up in the correct and let you know why it's negative body we cannot look you up i so do you just so i can do we will send you like a t e double oh phone once the block but is it kind of and what what about t. from you just read a lot i want to receive it takes you talked about a bit of a good to go good how are you just no it doesn't that's pretty easy so yeah that's pretty straightforward not a problem at a so that'll be about three but if you are able to connect you full phone call credit yeah and if you break that because what most people don't look at termination it but i can get over the view property that does not mean it's breaking up on correct alright so the modem loans to get you walked up a contract so what no that's not something yeah you all keep up with discuss as well do you do that will be in the awful you should be able to get you up above it's it's way too much that's why too much yes so it's no problem number okay thank you very much for your time and patience ever get i so i'm sorry ralph bank do you need my email address if you have any questions you can put you need the robert blake to get the queue oh okay good what do you know grace which is t for tom account takes a broad base already okay i could have done for you yeah yeah so it's t t for tom yes yeah spock dot co dot n z alright yeah okay thank you alright thank you so much for your time will they have a good day that alright so you know what
6.28E+18,6.28E+18,  so i just need them you here overgrown about your broadband okay all right just give oh he would is right okay i'm sure okay so for you okay i'm here to help you know what you can give us an update or jump in i think you're already got your number here it's not like that you know how long my one moment thank you i'm supposed to be cancelled account thank you so that's fine that's okay yeah i do have your account now i'll be out of the student they'll be street your address please your date your address thank you thanks right so i'll just give me i wonder too much in there that i needed to do something like that says check and see why dispute it's gonna go okay and what we're waiting can you confirm what type all here voice your user i mean if you're using a desktop computer or are you single into the laptop stay on the third phone the local for this okay thank you i think here six so you think you both of them a l times right yeah oh one second ways you know yes hi yes i can i can go and check that if if there's any like a drop out sort of stuff speed is your kids are going down like i can go ahead and that's on a land line columnists like maureen welcome have you tried to run a speed test hello hello right hello yeah i i'm sorry could really yeah i'm based on your account or it's showing that the download speeds should be up to twelve load that yes for the download if you do you see that you should be getting is up to twelve and b p s and for the absolute it should be up do you want a b p s alright so tell me how do you run or over your address detached oh you can go to this website speaking s dot net okay so yes please everything is good well do you mind if you do a good good connection that's all it's just not have what is it depends on the location of your house so yeah what's your we're yes it is up to experience that actually during do that you could have i told them deepest at the time at the moment sometimes you could you could have morgan minute yes yes that you're using a lot less your life i can actually have about a half on there do you have like a lot of people loaded for the people that we can look into this is okay one okay thanks yep with this drug people will be able to i'm not going to solve because so thank you got sure yeah because i'm allergic good the account didn't right right i think it out i'm good thank you yes please and since yes okay excellent cory good connection still did you through to some slow connection is there any of my midterm oh that's good so slow speed connection happening oh i mean if there's a time that you're getting slow speed connection because most of the card like let's say speak hours you'll be getting some speed i'm the yes be made any changes so i'm looking should appear modem us okay i'll try to get on the computer demoted itself structure action for a minute and and see if there's any folders on the connection come tell me if the connection still talking down you could send an email because you know oh we've also the people think that there was like attachments i'll be able to actually but it's not supposed to be able i should be there should be outside cable censorship like a shouldn't like five cents i'll have a good experience on it but let me check your gross annual you're looking at what do you were doing under problem ethernet so anyway oh forget shock i can go ahead and to do something like that so slow on the modem check and see if there's a problem with a ah first thing but i need to do is do we consider it should have after that if you do something is forty four talking to a different was my address so it's just like changing the channel else the modem no it will not there it's just that that you need to show fighting loss on water foreseeable and checking here for a loan because you're speaking to return that by the way i'm not sure you need to about self to signal like if you're going down still on the past few days are you should be good to go through twelve there d p s so i was just wondering if this is the modem for how long have you been using the modem to so okay let's go yes accent linkage most of the modem well last three to five years yep let's see here for you know after were doing reconsideration under modem changes gentle if there's any progress spirit it's still not done i'm thinking that you know he did you have a lot more than the case since sort of people that inspected you or what what it is it at all how do you drop outs all the signal or do you know the little speaking but anyway i'm not seeing anything on on our end so that's why i need to phone sometimes and further check oh you can have my email okay her for sure things to talk with him on the email that you can sit this happen again sure right oh three nine six four oh no oh t for tango oh nine six four nineteen through well i'll i'll support center with them about sports because what geo yes do probably at four one sorry for these hosts huh it's just that trying to check since the default settings everybody will be oh it's on the old because i think there's a channel one two two one twelve come no if i can also send you something like one if you can learn how to do it on their own it's basically six you what do you see stuff support of opportunities i could set up to read i'm sure sure sure then oh maureen also be looking in it interesting what am so i okay with so i'm okay yeah i'm not sure if i'm sorry what is your email is it back to you know itself okay so no message on on trust me okay sure she's there how long nothing else that's let me go ahead and click that she hasn't received it's like haven't got it yet how let's we quite a few minutes more i ah one second let you know it's the first time go nine six four nine two two five sports got killed and thank okay sorry it's yes sending them so what i like just the rest of what type of card to be covered the model of your modem itself some some i think she's been teaching or do you haven't been yes things are or journal sheets alright jump on i don't think it's ellis yeah here in yeah i i have it so that's all right and so i'll send you do you know like here you know letters itself that's just this one works on it it's not tied how like a month to replace is but the modem she's snoring yes and also there's b a b a question and ah thinking that you know how to access the modem itself and i might oh okay well you just need to access it motivates else once you change the channel you do to restart the modem and three oh four oh four three six attack and so like the speed listed see if we can get well i was told on it yes yeah so yeah i'll send you the details of your modem there's to do a close on how to change it like the likes like general change the password or like my password and username as well personal stuff alright i'm sure i'll try to sentence okay yeah learn how to do it it's just like i wanted to know if it's if you go up so that should so you just need to click how to guide sure is it here oh sure or you can so that down on the link huh i'll tell me if you've got the electoral okay them it's like okay hello circulating already sent a link you know it on the email you yeah did you click okay yes thoroughly saddam overlook as well just in case but i work that way you just need to go you're in boxing sparks just in case i don't alright and doing factory reset double double healthy as well sorry okay sure okay thank you yes you are going to how to going to go to configure the your lotus all things okay thanks for your location address you're smart up just
6.28E+18,6.28E+18,  so i usually david since right how are you send us a call from spock yesterday i said i would would be regarding yeah i need to talk to him if i can yeah sure sure are you on i'm i see yes also yeah lately oh yeah yeah so i'm let me have or something like right yeah okay yeah okay that's fine i don't know if i so it wasn't on the so what i'll do hello good morning so this is raj from spot cover you today sorry to bother you in the morning it but but i yesterday wouldn't be had a by instructions for the connected with the i d zero two seven be good no well i thought that it was for the men were to do if you can put that at a so we different dimension for you so i go do that for you tonight in the month i i'm in the morning on my email but i was not one i d no one to call you back so i called you know so we can provide you connected with me for south yes sir so sorry sara resembled the connection it's all up to your choice what you want to do yes yeah so if i we have at a certain action which will be one forty two dollars eighty five cents with one of the calling and we have also be be a second actually which is five seven eight years so and of course do you just a minute so you can choose which one you wanna go with right five no no but we do have someone what we can do here that we have that please reconnected with these force this at a so then we have the d s l then we have five a okay so five one eight five point oh five a connection always please take a long process to go ahead so at the moment what we can do it it is because the only one as well you can give you a reducing or at a certain extent you can upgrade it to any time any any activity they don't if you if you want to upgraded to five but you can do about as well but at the moment we can because you know the hard for is it people why do i remember that connection for the b d s l o a b answer like it wouldn't accept your place right so i think the connection was it will be at your location but then say about five days they will come i will send you a modem as well they will come to the location six and i'll make it up and running okay i'm i just put it on just a minute trust with my opinion yes yeah yeah oh okay no so generally what type of even if you will be able to a d s l connection right it will go for twenty four months one sorry how about if you want to change it to reduce it you can do with that date is at a certain all five sorry the it's about five or you can do that even if you're going to her order does mean sure but if you disconnect the line then you will be charged with a cancellation fee but you an update at any point of time no problem oh yes yeah we didn't find it this is yes a huh so i can i can give you a media so can actually which is more foster so okay we do you have to yeah i can put the order for the five or i'll take me what you can upgrade it first we will go ahead and give you the is the connection to start with that number steaks dark street s t i v d new then yeah and what's the post code so oh six double oh okay and you want this connection do we do this please you know two oh seven be great going through oh okay the same number yep but i mean okay so i don't i just don't summarize things so why wouldn't go ahead and put the media so connection because we did a connection will be off dollars extra from at itself but it is ready much speaking right yep what one forty two is that you do you have sufficient but more foster connection which is i'm gonna do for the reducing which is also available are just received one sixty to eighty five but that is really good speed too many fonts movies and everything but i thought it might have been is that correct yeah oh ok right reduce it will be fine so okay so i'll put you down i just close it right now okay and forty permission and i will go ahead and placed order for reduce that one second action is done at your place you would find that's a really good speaking out and then later on we can put a five a connection in the quest on as well so what happened here is there a lot of different factors that effects that when you do get broadband which is why for the checks might be needed out your property this means week on completely get into the service on the installation is complete good and your connection has been tested okay no so i so the because you'll have i wonder d b connection and that is all at a certain actions but there's two hundred you'd be the cents but you're paying for the lines quite a i'm looking at it so you are paying for you you're not getting a limited on that you're getting only two hundred u d and that there's also a d s l and you're paying for that connection if that is in the card i would be expiring on the ninth of the month this year or twenty eight so you are you are just using twenty you were going to do you do connection so which is a different i'll just take that so i just think that i'm just a minute to ah it's getting details u s h o oh ok leasing two cents so i'm looking at your command you say it's right last four months you a call because two hundred you do you hundred you'd be okay five this this connection you pay one ninety two dollars and eighty five cents with the connection and then that is why maintenance and everything you pay for it but at the same time if i look into your account you make calls from this number as well i so what happens if i look at your statement i let you know what you doing here so it's supposed to pay ninety two dollars for your internet connection okay and then ah let me check how much you pay for the calls you know okay i'm in the boot huh thank you were saying online so the mail a credit card as well i guess that okay now what's happening here if you are paying if i look at your better for the number which is eight oh seven two eight do it you are paying hundred and six dollars and sixty six cents what the connection and then i'll come back to me calls as well from this line you know and i have seen the charges of twenty two dollars as well so around about one thirty dollars you pay only for the two hundred you'd be connecting for so it's yeah so the b d a second action you're going to pay is one sixty two dollars eighty five cents including the new land line which way you can make other than that calls no no nothing is included used before but this is already floss connected with this but at that for you complete peace of mind off giving you one of the calling you know it's twenty four months one tractor you will get a free modem as well i with yes you did it is it is it is like it back on to yeah so what so it's any business account do you go ahead with will go on the twenty four months going directly cannot listen back yes i yes yes yes yes okay okay i yes for this one so so it's so yeah so yes yes i oh what i would definitely i would yeah i would definitely going off my team leader bothered at yeah so but do you want i should leave the order for the v e s l so yep yes it's that's when it is what we can do is as i'm looking at your whole body phones are you using thirty nine dollars and ninety nine cents every month and if you want to upgrade your phone banking and put you on a a limited amount that it's a different issue we will go ahead and sorted out right you're looking to the connected with these and i would like to give you a better get the only thing is are in business everything is fixed i just like what we can go ahead and do what those up and things one once i would please disorder been i would go ahead and send them but look we have placed a media slaughter on this on this account as well that's a customer using a d s l as well as i'm all by now there's a time when he wants to upgrade is more by as soon as the connected with the which is already using ready so one so what we can do right i would this because with him about this as well so but if you talk about that we do have some connection whenever report and he can activity it is on a fixed costs yes yeah or what with i'll fourth yes up with thought it yet five five yes smith for i am yesterday what yes i no problem sir you know from so i yes definitely it's not you'll have to do you think correct the only thing is i was looking we need to give you seven cents right the some assistance yes that i thought thank okay no no definitely so what i can do here this one someplace disorder for the v d s a r t y limited my it would need to the supervisor right and look into it what better we can do on on the old at the right so it's awesome i know it's like so we need to go up to the supervisor they are also deviant schedule but the only thing is i i can only put you one from is here so that that's right off the connected with these are the price which are open begin our team the prices for that but i'm looking at your account if they can't put something before you back is what support that can work on but that that's we need to get connected what they will be at the same costs i won't be ready to i don't want to give you any wrong information you know it yes i yes sir yeah so i but i yes i sorry about that so the so if that's possible correct shall we we don't know the things can be ordered once you have everything on the account right i mean if it we can try to put like like your at getting a ten dollar credit on your mobile in right because you are getting a credit on your connection with the it's all right on the on the broad you look at the moment so that kind of connectivity even orders weekend straight away port right but we can all team the price being ready to do you on on the public's right yes yep yeah so we can do testing thing because that they need to order but i would try to put anything what we can do is the best right because you on a customer for us i'm not going to say that we can't we will not go with this inbox but definitely we if we can i don't something for you we can try to do that right yeah that's what i need to look into it but if you want to work because i have got both registered to go ahead and put the reduce it to make sure which will be ready for us for you and i've tried to save your money so because you are spending one hundred and thirty two dollars every month on just two hundred g right but we giving you we do have some connection also anyone sixty to eighty five what i'm gonna get calling yes i was just just a part of the disclose it is amazing so that i can go over the place daughter okay so if you sign up for twenty four months when did you wanna get a free wireless modem understanding connection the only jobs will be the postage job to fourteen dollars and ninety five cents to send it the more than i'll do you stop it doesn't then decent apply and can be found on on that's like woodstock dot co dot n but if you decide to cancel the service within twenty four months that there would be i need the money she'll she'll still ninety nine dollars to be charged so may i go ahead and play daughter because i have to give you the new home phone number as well sure sure thank you so much i get back
6.28E+18,6.28E+18,  the money once it's not come on the phone things because i mean i can i help yes i have your name okay so you're currently on i'm going to set this up but we'll find my okay and are you wanting to go on them and said i mean so you want to go to make it yes okay can i have that i can you confirm your manager so many places like okay you know that we did a lot i'm afraid full fund i've had a ten eighty yet so at the bus what ninety five ninety nine that's great set nice click well you have it doesn't well you content in mind i'm and they could pull you you content close on that make a bill payment because naked one because make make a broadband maintaining just local but nice land line yes no i need to talk to me to just open on that side myself in i thought you contents any calling plans because you might be able to make any close everything else i'm i'm yes and click how often do you make calls in new zealand sam yes so what you need to do is i guess i yeah i mean i if i if you want to make once you have to have a fine line attacks sorry about that too in you will get it so if i give you got any goodbyes with the phone line that would be a hundred and five nine two nine five which on that plane you'll you already get free mission according so you might have to pay extra for the next couple of the that's not making board man that's all been like this in mind yes that's great yeah but why click okay okay all right so what do you want do you want to find my old you not wanna find my okay sorry if you want to find my everything would be a hundred and five ninety nine no that's any gigs okay you wanting like right click we actually thinking about it we're going to give you a free modem yes that's great because will pop okay so did you receive a ten cents okay so it doesn't i'm talking about five one us pulpit so does so i can put you through to us and what time wonderful things it's like a full j connection okay so it okay so do you know how you my by all right it doesn't like into any wall or anything you can get you know how you have your my best yourself right yeah so you know how the cellphone up right through it like a message on no no no no i'm not sure what's i'm talking about you can you don't have to talk to fight into the wall just have a calling like it's i get to to charge it so you can take your time we were you what because it's picking up that message sent some some how long right hi wonderful thank you need to know wrong one this building connection operates the same sorry it's a connection that comes through so do you have ah in the area pay seem to signal through to your house okay we provide you with somebody that that tonight most account that signal insurance and that's that's like most throughout the whole house like i said what you're using it might not as a couple like to make sure i i think it was income stupid jacqueline in the house okay wimbledon place that what the chow lab that's around here yeah but it seems to signal through to your house archive not the thing about behind the wheel why spaulding connection use it will be five so i'm almost able and it's quality and cancel well you've got it my but it's ok but the anything it's it's on that one off any copper lines so how many fines do you have in the house that you're using thank so and i've made called that's fine thank you yep about how many hence how many times i gave him the house so what is and then and the other line see any have to contact so the one i'm steven you'll be job is that a cordless five and the one that stands so cute yeah yeah i can close out in case about how your since this will not be waking okay but yeah that's inside so you have this compatible no i need one checkpoint would be working in the whole house okay and once i've done the games true so what i'll finance point and i guess right the old fashioned signed dot co dot so we should might have okay do you have a moment of security i'm medical not on sky to me fax machine yes i was supposed to i'm just gonna place you on hold for a moment and then i'll come back to
6.28E+18,6.28E+18,  hi you're speaking to richard very about a new connection yeah okay well yeah i can have a look at some what's involved with with it returns something like that the interest that you're looking to connect that's cool yes so do you know if they say but the only one seven three eight eight four interest does it have to have a look at this for you and what services database i believe one two three like that so many address but i don't have any indication of any so this is not in previously button set up with that address what we're doing through the list some previous like you need to trace it looks as though some well okay sixty nine i mean to sex all right that's right this is the motor late in your own time i'll be straight up quite odd funds expense usually stopped what into a house when so if i could send all usually put in ah when the on the still okay okay three three right i'm just having to check neighboring interest as well so yesterday we go any indication that side of the area has open available folders i'm doing it's the official six oh number seventy three actually see that's no that's okay size open for the telephone one's available yes well on the rates and it's coming up as unavailable monthly because it's not our history the thing and installed on to the address one five usually make check neighbor i'm oh what for some soft yeah it's about the turkey one if it's quite old enough that's possible that something that's anyone if it doesn't reach connected sometimes they might not actually put it down and the number two beach right might have just been record with my yeah well i'm just forty three p maybe you know the name of someone is previous we lived in the branch oh really okay richard i'm doing cory this is because what if we don't have any record a very it's ah interesting thank you need to censor some connection charges on and so it's can sometimes the whites history is it in the okay anything else that signs i'm i can try and look at all these different sanitation yeah this is come up when i am at the available she chicken yeah so that's fine okay that'll be another name for me to look at your new yep fearing number dresses that says just been set up with building names so six fifty six so for example well that's what it says that you have a okay well there's one it saved watch it since itself what do you have a well the one that's recorded five fifty six so ah after we had to tell someone to me to delete that yes but the other side maybe yeah one six inches them so i'm yes yes i think okay what i might need to do with this request it's just one place it would for it on the existing one thing and system interest but i will need to streets that some we're trying to reduce incidentally happen to be sent to sort of selecting will definitely need to get a ticket go up and down to call the connections and it's the take i can find some that's it hasn't been a certain sleeps and told them to properly extra work over and above basically turning up like and things and than that up charges for that what they expired and then click your campus website exited no i'm we'd screw it just looking at so i have been a internet service on the phone so i'm like a full banking simple the internet and still find this package okay so you probably not going yes yes i'm yep yes yeah well the so the actually take this plan what the pay on make it i need to go in normally that's what they should be forty nine months but sounds like in just got it by synching does amount something to put my mobile to get so if i'm not actually looks like on the account is some money for money not for phone banking but you get a thirty don't just cancel that's putting a block on the land line as what was that extra tables off please it's so i don't know what's installations so so i'll trade this is a stated reconnect and ah in this instance again it's one six nine six or what but what's that standard them rejection what support there is what we don't know when you have a six also funds comfort search on that saying it's not just depending on whether you need a new well spoken about them for my son i'll have you got a modem looks like a rental okay so if you've got last year when you self you don't need one then i can see what puts a six one come through it and it's just a second to live in that six months and they say see much in on the list three could cost okay so and what's the ah when we doing that controlled then we still have to sign to make sure it's the teachers everyone's it'll be on the job seekers they did it so it's telephone line you've got a phone number neighbor saying but what put a block on it so the on the coldness you can do is what they two one one one oh one two three everything else and come here i've got a bunch but if you change your mind somebody with a land line for you know first i'm bar yes what's your street it's but you'll get it takes me a minute what's the telephone number that side of things that look at it to the connection so if you could talk to one bar john it'll be the and what's i'll over to take for you so just use exit the i think it lets i'm actually do you know the connection allergic it was on the forty six so it would be surprised but what happens if you're treats any was a plan these days as it starts at five double triple five people that's what i want to speak to people to monthly i'm waste up so i think it's almost a personal of course you can change the plane to anonymously in in a place you just yeah hello right so what you can and my ball and i i watch i said look to see if we've got a real lot less connection available there and unfortunately that's not available at this point what's the extra adults we can see those off so they don't ring you again i'm just gonna put you through to something to do with this i can see that right now you're on a well the main find out the ninety nine double nine find as oh nine ninety nine double playing well i i can't sorry i'm just saying that it was some upgraded from five to ten gigs really are in a while i've got like three last month we can downgrade set it to the ninety nine point what you maybe like to leave it until headaches one selection seven which over the phone calls it just like i give us a yellow once i once you've got up and running and i'm calling the recall just like the the so if you're a joke on tricks you know give them a what they need a temperature he's or anything like that oh okay and i'll just need to work at a time frame four six so oh one seven instruction folder take the call you at least off now before they were i've only done the appointment select we can get on how such i really i'm sort of often in on a specific thing but society there's an appointment in the area full third southwest yeah i'm a likely behind the old would you prefer the okay okay so you pretty much in five times you'll get a takes me system sending the booking for the broadband sort of things that's that's that's comes out of the different day that'll be the day that you can speak to the one that's when they returned and yeah i'm just ah reader writing until it's not connecting to sit unfortunately just recently time i think i'm safe right so that's the one cents you know that quite right well i think sequels available to you yeah exactly address h. well thanks for that
