price,datetime,room,location,area
$4500,2016-10-19 18:43,5, (cupertino),1952ft
$3248,2016-10-19 18:42,1, (laurel hts / presidio),650ft
$4000,2016-10-19 18:40,1, (marina / cow hollow),
$3250,2016-10-19 18:40,4, (mountain view),1850ft
$3250,2016-10-19 18:40,4, (mountain view),1850ft
$1750,2016-10-19 18:40,3, (fairfield / vacaville),1656ft
$3250,2016-10-19 18:39,4, (mountain view),1850ft
$2495,2016-10-19 18:39,1, (san jose downtown),607ft
$4295,2016-10-19 18:39,1, (lower haight),
$2484,2016-10-19 18:38,2, (san jose west),1065ft
$3657,2016-10-19 18:38,1, (foster city),850ft
$5500,2016-10-19 18:38,2, (SOMA / south beach),
$3200,2016-10-19 18:37,2, (daly city),1230ft
$2850,2016-10-19 18:36,3, (petaluma),
$1835,2016-10-19 18:36,2, (santa rosa),1000ft
$3295,2016-10-19 18:36,1, (alamo square / nopa),
$2000,2016-10-19 18:35,1, (excelsior / outer mission),500ft
$3603,2016-10-19 18:35,1, (laurel hts / presidio),700ft
$4895,2016-10-19 18:33,2, (downtown / civic / van ness),1104ft
$1670,2016-10-19 18:32,, (oakland lake merritt / grand),203ft
$5250,2016-10-19 18:32,3, (sunset / parkside),1750ft
$3195,2016-10-19 18:32,, (russian hill),
$2500,2016-10-19 18:32,3, (santa rosa),1536ft
$4500,2016-10-19 18:31,2, (sunset / parkside),1300ft
$3100,2016-10-19 18:31,4, (brentwood / oakley),2960ft
$3295,2016-10-19 18:31,, (russian hill),
$2175,2016-10-19 18:31,2, (oakland hills / mills),800ft
$2591,2016-10-19 18:31,2, (santa clara),1020ft
$2600,2016-10-19 18:30,2, (pacifica),800ft
$2400,2016-10-19 18:30,2, (oakland lake merritt / grand),
$3160,2016-10-19 18:30,3, (fremont / union city / newark),1369ft
$2395,2016-10-19 18:30,, (lower nob hill),
$2195,2016-10-19 18:30,, (nob hill),
$4750,2016-10-19 18:30,3, (lower pac hts),
$2950,2016-10-19 18:30,1, (nob hill),
$2153,2016-10-19 18:30,1, (santa clara),765ft
$2150,2016-10-19 18:29,, (lower nob hill),450ft
$3250,2016-10-19 18:29,4, (hayward / castro valley),1850ft
$3250,2016-10-19 18:29,2, (oakland lake merritt / grand),
$2100,2016-10-19 18:28,2, (hayward / castro valley),1200ft
$1450,2016-10-19 18:28,, (san leandro),
$4600,2016-10-19 18:28,2, (noe valley),
$2125,2016-10-19 18:28,1, (San Francisco),
$2850,2016-10-19 18:28,2, (richmond / seacliff),
$2250,2016-10-19 18:28,1, (oakland lake merritt / grand),403ft
$3195,2016-10-19 18:27,2, (berkeley north / hills),
$2992,2016-10-19 18:27,1, (oakland lake merritt / grand),775ft
$2195,2016-10-19 18:26,, (san carlos),
$2486,2016-10-19 18:26,1, (cupertino),647ft
$3500,2016-10-19 18:26,2, (mission district),720ft
$3250,2016-10-19 18:25,4, (hayward / castro valley),1850ft
$1549,2016-10-19 18:25,1, (hayward / castro valley),
$1100,2016-10-19 18:25,2, (fairfield / vacaville),800ft
$3250,2016-10-19 18:25,4, (hayward / castro valley),1850ft
$4995,2016-10-19 18:25,3, (palo alto),
$2300,2016-10-19 18:25,2, (alameda),864ft
$317,2016-10-19 18:25,2, (Cupertino),1328ft
$3831,2016-10-19 18:24,1, (mountain view),900ft
$2301,2016-10-19 18:24,1, (san jose north),778ft
$2700,2016-10-19 18:24,3, (concord / pleasant hill / martinez),1619ft
$2095,2016-10-19 18:24,2, (san leandro),1100ft
$2153,2016-10-19 18:24,1, (santa clara),765ft
$3700,2016-10-19 18:24,2, (pacific heights),650ft
$4820,2016-10-19 18:23,1, (laurel hts / presidio),1100ft
$4395,2016-10-19 18:23,3,,
$3145,2016-10-19 18:23,2, (a-227),1131ft
$2400,2016-10-19 18:23,, (lower nob hill),500ft
$2500,2016-10-19 18:23,4, (dublin / pleasanton / livermore),2555ft
$3440,2016-10-19 18:22,2, (santa clara),1151ft
